"contents href","_image_yazkc_11 src","_image_yazkc_11 src 2","whitespace-normal","font-medium 2","h-4","pointer-events-none src","truncate","inline-block","truncate 2"
"https://shopee.co.id/EIGER-ANATOMIC-BRIEFS-BOXER-i.19260065.40963946312?extraParams=%7B%22display_model_id%22%3A291151481006%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0r-mdlr5hhg2g0ebb","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER ANATOMIC BRIEFS BOXER","79.200","-20%","","Pilih Lokal","4.9","327 terjual"
"https://shopee.co.id/EIGER-WS-NAYA-BOYSHORT-UNDIES-i.19260065.25513690052?extraParams=%7B%22display_model_id%22%3A137845218878%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98s-lrsflv63mlahe5","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER WS NAYA BOYSHORT UNDIES","139.000","","","Pilih Lokal","4.9","79 terjual"
"https://shopee.co.id/EIGER-ALTO-SOFTSHELL-JACKET-i.19260065.27724853589?extraParams=%7B%22display_model_id%22%3A108579343191%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rasi-m5nq82oyqwnn3c","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER ALTO SOFTSHELL JACKET","724.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","433 terjual"
"https://shopee.co.id/EIGER-CHROMATIC-WAVES-T-SHIRT-i.19260065.8510578879?extraParams=%7B%22display_model_id%22%3A24100399107%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0h-mdfl26506xjsa8","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER CHROMATIC WAVES T-SHIRT","174.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","5RB+ terjual"
"https://shopee.co.id/EIGER-28-GUNUNG-LIST-T-SHIRT-i.19260065.10004900785?extraParams=%7B%22display_model_id%22%3A76392857968%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/fc16144e73458a3ce5ced43b279d5ac3","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER 28 GUNUNG LIST T-SHIRT","164.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-CUVETTE-T-SHIRT-i.19260065.16100058888?extraParams=%7B%22display_model_id%22%3A170002207421%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/266c7d7e16a27cd48280afbb4c3820a2","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER CUVETTE T-SHIRT","194.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-INDONESIA-L-S-T-SHIRT-i.19260065.5174500896?extraParams=%7B%22display_model_id%22%3A53173355715%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rash-m126slppgsnuf6","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER INDONESIA L/S T-SHIRT","224.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","2RB+ terjual"
"https://shopee.co.id/EIGER-MICHIGAN-HOODIE-2.0-SWEATER-i.19260065.6285129129?extraParams=%7B%22display_model_id%22%3A302582885966%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mno6o362qbr4a6","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER MICHIGAN HOODIE 2.0 SWEATER","484.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","2RB+ terjual"
"https://shopee.co.id/EIGER-BALATON-FULL-PRINT-TEES-i.19260065.14068700176?extraParams=%7B%22display_model_id%22%3A134952739307%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/f6433baeecf83fa749c7706b92f8a840","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER BALATON FULL PRINT TEES","204.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","2RB+ terjual"
"https://shopee.co.id/EIGER-ADVENTURE-EXPLORATION-T-SHIRT-i.19260065.8315643371?extraParams=%7B%22display_model_id%22%3A43707998737%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mdfk3462xmt05d","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER ADVENTURE EXPLORATION T-SHIRT","204.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
